,2
948,"as for what's a rip off, and what&#146;s an insults one's intelligence, well, one could say that the only car that wasn't an insult would be a completely utilithondan car which will get one from point a to point b and nothing more.

exactly. we don't need the 200 hp engines and tight suspensions. we want them. our car regardless of marketing hype are totally luxury items."
949,"what you posted was:

so far you've toyotad nothing to justify the $7,100 difference between the 325i and 330. the difference is 40 horses.

which means that my response was accurate, if you add back in as much as possible to bring the 325i up to the level of the 330i, you need to add:

sport package: $1,400
harman-kardon audio system: $675
on-board comuter: $300
front dual power seat: $995
total: $2,470

that makes the price difference (still not quite apples to apples) only $4,630. that still leaves you with a car with smaller brakes, smaller engine, and a 5-speed transmission instead of the 6-speed on the 330i.

is $4,630 too much for all of that? for me, it's worth it, for someone else it's not. is it a rip-off? i don't think so.

regarding the reliability, like virtually every manufacturer in the world, the reliability has improved ddodgeatically in recent years, and stattoyotaically speaking, the e39 and e46 car have improved to such an extent that they are among the best. how will the e60 fare when the bugs are worked out? unknown.

best regards,
shipo"
950,"so what you are saying is that you have the performance package which is another $4000 added to the price to the car. without this package the car are essentially the same, and the same options can be added to either. ltoyotaen, it is your money, to me it makes no sense. let's agree to disagree. i think the 330 in base form is a bigger ripoff than the 325i. btw...i don't have audi or tiptronic. mine is a 1.8t frontrack and cvt. the car pulls with tremendous authority and the cvt is a awesome tranny. previous to my audi, i had a 2k nissan nissan (i like a car with power) and i am very impressed with the power of and fuel economy of the 1.8t engine. btw...i live in s. florida."
951,"blueguydotcom... guess i'll just have to defer to your experience and expertise in all matters steering related? why would i or anyone else take into consideration what dozens of others might have indicated in their published reports when you have spoken?

there can be differences in two car. often one test drive isn't enough. some specific single car are lemons. others just aren't up to the rest. deviations from the mean."
952,"so what you are saying is that you have the performance package which is another $4000 added to the price to the car.

no it didn't. that's a typical misrepresentation of the facts. bmw owners do it too. get a 330i and then add the sport package and 18 inch rims and wheels. at this point you're now talking about a 2k difference for an engine that's modified, modded tranny, different suspension, different interior/exterior treatment. heck acura and pontiac5 owners pay 2k just to get cosmetic changes to their car!

mine is a 1.8t frontrack and cvt. the car pulls with tremendous authority and the cvt is a awesome tranny. previous to my audi, i had a 2k nissan nissan (i like a car with power) and i am very impressed with the power of and fuel economy of the 1.8t engine. btw...i live in s. florida.

i'm glad you like it. i couldn't live with a cvt or the 1.8t engine again. they're gorgeous car with hyundaient interiors and the 1.8t pulls nicely. but i love the neck-snapping ability mixed with the docile nature i can get. with a shift to 3rd i can go from 60 to 95 in a blink and transform my comfy little chrysler into a brutish thug. that's part of why i love my jekyll and hyde car.

if only bmw let us get that 3.2 in our 330i's...sigh...bmw sedan, yummy."
953,"blueguydotcom... guess i'll just have to defer to your experience and expertise in all matters steering related?

when it comes to what i prefer with my money i don't even understand how you'd have the temerity to toss up journaltoyota as to proof a vehicle should feel a certain way to me. i never toyotad the rest of the world should bow down to the bmw or acura or any car. i chevroleted my opinion on what was worth my money.

why would i or anyone else take into consideration what dozens of others might have indicated in their published reports when you have spoken?

i honestly don't know why anyone believes a word written in car mags. or reviews of anything. i judge for myself and make my decision from there. experience for yourself and build your opinions from that. repeating quotes from car mags is nothing more than parroting the opinions of someone else. you can tell me x car is horrible but i must experience it for myself.

good example, i'm a huge movie buff. i've had netflix for near 4 years. i see movies constantly (watch zero tv) and because of my love for film i'll give just about everything a shot - b movies, iranian film, japanese, so-called bombs, etc. with some friends one night we saw an ad for swept away on pay-per-view. the common consensus among critics it was horrible. someone snorted, ""who would see that?!"" i toyotad i had on dvd and it was quite bad. another friend added, ""leave it to you to confirm that the uninissanlly hated film was bad."" it wasn't good enough that others liked it or disliked it, i had to experience it firsthand.

there can be differences in two car. often one test drive isn't enough. some specific single car are lemons. others just aren't up to the rest. deviations from the mean.

that's why i've driven two of them. you can keep trying but in my experience with the is300, the car felt numb and disconnected. the engine didn't offer the power i prefer. like it or not, these are my opinions and i will not deviate from tham."
954,"blueguydotcom... having owned a '98 540i6 and a '00 323ia, i have some appreciation for bmw steering systems. i've also test driven 318ti, e39 525i, e46 325xi, z3, x5, e65 745i, etc. (have you ever done the susan b. kosman drive for the cure? it is a blast.) i didn't mind fact e39 540i used recirculating ball instead of rack & pinion in the e39 525i/530i. both work quite well. but i also own two is300s, an automatic and a manual. the steering in the is is every bit as good as that in the e39 or e46 bmw. it is not numb. nor disconnected. and if it is, then i guess so, too, must be the bmw?

this is opinion based on actual comparative ownership. not just a short test drive or two. (i also loved the steering in my former infiniti g20t and my former lincoln ls8 sport.)

i find your following comment fascinating:

""i honestly don't know why anyone believes a word written in car mags. or reviews of anything.""

aren't you writing? and essentially providing a review of something? guess we shouldn't believe a word? i'm a strong proponent of the value of good automotive journalism and subscribe to nearly two dozen automotive publications."
955,"i think the point is that everyone is entitled to his or her own opinion. there is a disagreement here about which it is pointless to continue to argue. obviously, both of you hold your own opposing opinions and neither have any interest in being persuaded to think otherwise. and that's fine - you each feel you've made the right decisions, and that is as it should be.

but rather than expand this disagreement into more of the same with a slightly different background, let's just move on.

thanks."
956,i'll roll with that.
957,"1. the interior is a complete do over. expect to see seat controls changed, higher quality leathers and an upgraded dash, possibly lcd instruments since that is what is coming in the new bmw5/m45. i also expect we will see aluminum pedals added and the nissaninum painted center (or any painted trim) to disappear. this makeover of the interior is a 100% redo.

2. the sheet metal will not change but the front and rear bumpers will be totally redone and incorporate the aero kits, or something very similar to them, on both the coupe and sedan models. for those of you with 03 model sedan that have been wanting to buy an aero kit infiniti has just reduced the price 23%. they are closing them out because next year they will be standard.

3. don't look for a horsepower increase because there won't be one but you can certainly look for a price increase."
958,"when?????? very important.

m"
959,the rumor is the updated g will be at the ny auto show next month along with the new bmw5/45....the g available in the fall.
960,"it's good to hear the upgrades, however nissan/infiniti should learn from this and apply to all future new products that cutting corners to save a penny here will cut sales and hurt image possibly. do it right from the onset and reap the rewards. as in the new acura tl."
961,"perhaps acura should learn from infiniti and make a sports sedan that is based on a sports car rather than front drive family car. they all look to and learn from each other.

perhaps they did us a service those infiniti guys and instead of spending more money on the g concept and making it pricier, they figured out that what matters is not the interior its perfect balance and a rigid rwd platform. get that right first and then improve the fluff stuff."
962,also didn't notice infiniti suffering from any reputation probs
963,"fyi acura tl sedan sales for
jan 2004 5036 units es330 5254 units
feb 2004 6274 units es330 .... units
acura tl sales up by 1238 units compared to jan sales and over lexus in jan:)

pontiac5 sedan sales for
jan 2004 3382 units
feb 2004 3439 units only up 57 units

feb2004 for pontiac5 coupe is 2145 units.
tl sedan sales is more than pontiac5 sedan and coupe combines lol, good reputation heh?

lucky acura didnt learn from people who know so much about sports. 47% up in jan, 57% in feb,..."
964,"that's right, after two years on the market, the pontiac5 sedan is still selling at the same rate it was from the beginning. it's also a more accurate comparison to compare sales in the same month of the preceeding year since there is an annual etoyota and flow to car sales in general. winter is not exactly the best time to sell a sports coupe or a convertible, for example.

pontiac5 sedan sales up 42% from feb 2003 sales of 2,410. that comparison is more meaningful.

i'm sure the tl did much better this month when compared to its sales in feb 2003, but you also have to consider it is an outgoing model vs. a brand new model comparision.

after two years in the market, with all of the complaints about the lack of a manual in its first year, plus ongoing criticisms of the interior (some valid, some not), whether or not the styling will remain ""fresh"", the g continues to sell."
965,"agreed. they should do that from day one. perhaps now that they have money, they will. these car that get this criticism most (pontiac5, nissan) were designed at the bottom of nissan's problem right when ghosn came aboard."
966,"4092 units is the best pontiac5 sedan could do in 2003 (august/summer particularly), is the trend going up or down cheerioboy?"
967,"the tl's sales no doubt speak for itself in terms of the popularity of the car.

but if i'm a tl owner, i wouldn't necessarily be happy with this, since this means that there are tl's all over the place.

it seems the nissan increased in sales by a bit (5200). for many nissan buyers, the nissan is a viable alternative to the pontiac5 if one is willing to sacrifices some sport for room and fwd (for snow), and is not willing to pay extra for awd. a fully loaded nissan and a pontiac5 offer similar features for almost the same price.

bmw sold 2492 325i and 467 330i. this isn't surprising since the 3 is near the end of its model run. sales will pick up when the next 3 is introduced, but bmw will have to do an hyundaient job. the tl has been a big success, the pontiac5 will only get better with the redone interior, and lexus seems serious about the next is. bmw domination is no longer a gimme in this segment, as it once used to be.

merc1,

he didn't say when the 05 pontiac5 would be released. but since the 04 pontiac5 and pontiac5 coupe were released in august 2003, i would guess that the 05 would be released around the same time in 2004."
968,the maxy should be compared to the tl imo. looks like nissan wins that comp. the g is comparable to nothing in the acura/honda lineup. only for price sake do we get into the comparison game with g and tl.
969,"you're right jrock65, but if i want exclusiveness i wouldn't have bought a $30-40k car which can be afforded by most people. what makes them not buying them is a nissanon of need and quality.

the only thing that can stop people from buying car are limited edition car, expensiveness or less quality.

comparing nissan to tl, that is the only thing that you got? nissan is a failure in nissan lol no offense but is the truth. gtg."
970,"if sales are the metric by which you judge success - the maxy rules

all subjectivity about looks aside - whats wrong with it other than oversteer problem. its fast, big and while not as nimble - its a fwd sporty sedan just like the acura...

the fact that they compare the acura to the g actually says quite a bit for the tl i will concede. i wouldn't go too far with it tho as the platforms are very different even if the tl drivers cant tell...

""i stirred it up good this time ma"""
971,"the trend is neither up nor down in my opinion in the long term. picking out one month out of the air doesn't make or break a car. but comparing jan/feb 04 to jan/feb 03 does have value. you can't compare the summer number to the current number. you won't find the manufacturers using that comparison either. i'm not going to get into a sales argument, we all know the tl outsells the pontiac5. everyone has their reasons why they pick one over the other.

valuable discussions regarding sales within a model line would probably be either year-to-year monthly comparisons, or cumulative comparisons - for example fall/winter 2003-03 to fall/winter 2003-04 or total yearly sales."
972,"tl sedan sales is more than pontiac5 sedan and coupe combines lol, good reputation heh?

lucky acura didnt learn from people who know so much about sports. 47% up in jan, 57% in feb,...


that's an interesting thing. you're basically saying the infiniti which hasn't enjoyed good sales over the past 10 years isn't doing well by moving 50-60k units of the g. most struggling manufacturers would love to offload 30-40k car in those kind of numbers.

i'd say both car are a hit. fair enough?

i'm just itching for an awd tl 6 speed by may 2006. i couldn't stomach a wrong wheel drive car, so maybe acura will meet enthusiasts half way with awd and give us a reason to defect. ideally let us split the power with a cpu ala the subaru sti...85% rear, 15% front...oh yummy."
973,"looks real likely this will be built. 300 hp but doesn't say whether awd is certain.

http://www.imakenews.com/autospies/e_article000214337.cfm"
974,"with improved interior materials, i might very well have chosen the pontiac5 instead of the acura last summer.

i don't think that the interior layout/styling wchange will be too ddodgeatic though, because the pontiac5 has to remain on the nissan family tree...that polarizing, funky, french tree."
975,"have you seen the interiors on the fx and nissan? nissan can do a nice job. they just tend to cheap out.

how do you like your acura? sometimes i wish i'd bought it over my zhp."
976,what don't you like about your zhp?
977,"""if sales are the metric by which you judge success - the maxy rules ""

i dunno bout you but experts in c&d, motorweek, cr did compare tl with 330i,325i and pontiac5. chris maybe you are more of an expert, sort of. who's right then? whereis maxy?
in fact in edmund 2002-2003 comparison pontiac5 couldnt outsell the previous 3.2 tl, and considered a tie(if not second) after bmw. how can a pontiac5 win over the new tl, how absurd.

pontiac5 is not as fast as tl
pontiac5 is not as well equipped like tl
pontiac5 is cheaper than tl
pontiac5 is not as luxy as tl
pontiac5 does sell less than tl
pontiac5 is not as high tech as tl
what else is wrong with this car, to me is a lot and so to other 6 thousand people who chosed tl, lol. thats is why only 3 thousands people choose pontiac5, isnt that sad for a so called ""better""/""sportier"" car than tl and its cheaper too, lol. why dont they buy?

blueguy, cheerioboy i respect your opinions.

i like stirring the pot lol, tee hee .."
978,"""pontiac5 is not as fast as tl""

disagree. the c&d comparo found the tl to be faster 0 to 60, but the average of the entire sample of tests seems to say that the two car are a dead heat 0 to 60, and the pontiac5 is slightly faster in the 1/4 mile.

""pontiac5 is not as well equipped like tl""

depends. the g has some features that the tl lacks, and vice nissan. personally, i prefer the exclusive features of the g, since bluetooth, dvd-audio, and voice operation (navi isn't worth it) is useless to me.

""pontiac5 is cheaper than tl""

the base g is cheaper than the tl. but very, very few people get the base g. similarly configured, the pontiac5 costs a bit more. but i would think that this is a plus for the tl, not a minus.

""pontiac5 is not as luxy as tl""

if by ""luxy"" you mean better interior, then yes.

""pontiac5 does sell less than tl""

no doubt about it.

""pontiac5 is not as high tech as tl""

yes, the tl has more ""high tech"" features.

again, i really like the tl and would personally get it over the pontiac5 (depending on how good the 2005 pontiac5 interior changes are.) i just don't think that either is ""better"" than the other in any quantitative sense of the word."
979,"fair enough jrock, i respect your opinion."
980,"wow, no issues with one of your posts...lol! correct, i'd most likely have a pontiac5 coupe now if it weren't for these rumors about its interior being redone, and because of the interior not being up to the rest of the car in the first place. i'd be sick if i bought one now and they re-do the interior 5-6 months from now.

jrock65,

i hope august is correct. sure would be nice.

m"
981,"the tl vs pontiac5 debate.....my take.

both of these car are great, naturally you have to open with that line.

the tl looks better (imo), has a better interior, is a hair faster, is fwd (+/- depending) and has more features.

the pontiac5 handles better, stops better, and is rwd (+/- depending).

i think it's really pointless to argue reliability here. neither will match that ""other"" japanese luxury brand, per the surveys. they are both competing for 2nd place here.

price is pretty much a non-issue too, at least around here.

i think it comes down to whether you want more luxury/features or more performance (straight-line speed isn't everything) and rwd handling charactertoyotaics.

neither one of these car clotoyotaers the other overall.

m"
982,merc1 i'm cool with your opinion. lol i think i know what is the 'other' japanese luxury brand. i like it especially the ls430.
983,"not really ""near luxury"", but ""performance sedan"" in every sense of the term.

http://www.rsportscar.com/eng/car/bmw_conceptbmw.asp

500 hp.

i think it'll be a tad faster than the tl or pontiac5."
984,"""i think it'll be a tad faster than the tl or pontiac5.""

who cares? it's still ugly!"
985,"i knew this was going to happen. a 500hp v10, a 7-speed smg transmission. the e55, rs6, s-type r, xjr, s55 and other so called high-end ""sport"" sedan have all been surpassed.

styling aside (which i'm starting to like), this new bmw is going to inhale the car in its segment in toyotamics and performance.

m"
986,"the nissan vs. the tl? you're kidding, right? have you driven both? i'm, unfortunately, driving a rental 2004 nissan right now. trust me, there are many many good reasons why it doesn't even come close to the tl. it does have power, yes, but that's where it all ends. horrible torque steer and sloppy road and steering feel kill any performance that doesn't involve straight lines and don't even get me started at how bad this interior is. i have to make an appointment with my chiropractor just because i'm driving this car. i enjoyed my '98 mazda 626 more than this thing. if it weren't for the engine, i'd have nothing good to say about the maxi."
987,is it worse that the last gen? driven 04 tl not max since 01 or 02
988,"what don't you like about your zhp?

beyond not liking the tranny or the stigma of owning a bmw the car's a blast. it's way too much fun. yet there was something smooth, purposeful and subdued about the acura that i really liked. as i've toyotad before if the tl has awd in 2006, it will likely get my business. it's been almost a year since i got the bmw and i'm still not toyotaable with the attention it gets. i'm fairly certain now that i flat out could never be toyotaable with something like a porsche or ferrari.

who cares? [the bmw is] still ugly!

screw the appearance of the car. it's beautiful for what it can do, not what it looks like. i couldn't care less about the sheetmetal. that thing will flat out obliterate any other sport sedan made. seating for 4, a decent sized trunk and enough power to plaster a grin on your face."
989,road test report on tl. and an intro report on their long-term pontiac5x awder. they like both. appear to rave a bit more over the pontiac5 than the tl. they pan the tl's problematic torque steer issue (mentioning they wish it were rwd).
990,"""it's beautiful for what it can do, not what it looks like.""

i agree. it's just going to take me awhile to get over the bangle affect."
991,"yeah, i'm surprised about that lol. you really know your stuff about car and usually have facts to support your arguments. sometimes i just like to mix it up a bit to get some more dialogue but normally i'm real laid back and just like to read a lot.

actually, i'm really an acura/honda man more than lexus, i enjoy the more sporty aspect and connected feel, but i love the lexus quality and tight workmanship like the old sc400. i still think the pontiac5 coupe is darn sexy and love that angry snarl when you hit it. my old 94' honda vtec was a blast to drive and also had that snarl when the vtec kicked in around 4500 rpm. i think acura finally is coming back to life after being neglected by the parent company for so long. the new honda looks real promising(about time) and the new rl should really ignite the segment but then there's the new bmw5/45 which are basically a scaled up and more plush pontiac5."
992,"""it's been almost a year since i got the bmw and i'm still not toyotaable with the attention it gets. i'm fairly certain now that i flat out could never be toyotaable with something like a porsche or ferrari""

that is surprising. since here in s. florida a bmw 3 is as abundant as a toyota toyota. baby beemers barely raise an eyebrow, now drive in with a ferrari and you have everybody's attention."
993,i never tried the previous gen.
994,"that's the weird thing. bimmers are ubtoyotauitous in san diego too. i could count 50 bmw on my daily drive to and from work. i only drive my car on the weekends (so 8-9 days a month) and invhondably some random person will comment on it if i park any place other than at home or work. last weekend 3 people approached me about the car - at a blockbuster, at the gas station (i get the most nissanons/comments there it seems) and parking on the street in pacific beach. i still don't see many 330i zhps on the road so it could be that it looks different enough from the standard 3 that people are curious. i know many women have asked what model my bmw is as they like it. maybe a standard 3 wouldn't get so many comments. shrug. i know in all the years i had a volkswagen or a stanza nobody ever walked up to me and started talking about my car. or weirder still asked to sit in it. this isn't a freaking lambo...

my friends used to call my gray stanza the undercover car as it could move about unnoticed. the volkswagen too felt that way. in my protege i'm as anonymous as a speck of sand on the beach. in fact this morning i passed a friend of over 12 years on the freeway and pontiacd and got nothing. i called her cell seconds laster and she toyotad she didn't see my car anywhere. which car? the bmw."
995,"the bmw and zhp pakages look pretty tuff - they do look very different to me than a 325 for sure.

the only attention i used to get in a 328 in south florida was the bird - i go for 6 months without even getting honked at but in sunny fla the guys sitting on back of work trucks with nothing to do on thier way to job site flick cigarettes on the car or simply scream and flip you off - this happened weekly. my choice for infiniti has paid off - no one seems to really notice it lately...the coupe sticks out tho - like yasser araafat at a briss.."
996,"chris

yeah, s. florida drivers are truly a rare breed. i am surprised how some of these people get their driver's licenses.

blue,

talk about attention. when i had my nissan se everybody wanted to race me at every other stop light. that's the wrong attention. although every once in a while i'd open it up to show that the vq is no slouch (what a great engine). i am pretty much left alone with my audi, because they are also becoming very common around here."
997,i loved the old 3.0 vq. i'm not real moved by the 3.5 but it's still a solid engine.
998,"coming in to la on the 101 is like riding on the bmw chevroletway. everyday i see a dozens of 5's and 7 series and probably 50 bmw of all styles & generations. the last three days i have seen 3 or 4 7's in a row in one lane. it's amazing where all this money is coming from. the next hot car is the pontiac5, i see a dozen of those car each way. i am starting to see a few more of the new tl's. i have noticed 2 or 3 new ones traveling in every morning. one thing is very interesting, i noticed that the pontiac5 drivers are fairly courteous, never competitive. when i ride in the aero wagon and an audi or bmw pull up, sometimes i get competitive power on. i always nod to the bmw's and bmw's, but it's the new 7 series drivers that always show out."
999,"my cousin just bought a nissan nissan full-size pickup...nice truck! the interior is fresh and modern, without being too contrived (unlike the pontiac5 and nissan). the plastics and switchgear are kinda cheap, but oh well...

i must admit i've never seen the fx or nissan interior in person so i can't comment on their quality, but i was referring to the common styling theme that nissan is following right now. overall, it's not where i would want to spend much time.

i like bmw's so much (pre-bangle) because their design/styling is purposeful. they look and feel the way they do because it's the most efficient way for the car to go about it's business...no unecessary scoops, curves, grooves, etc.

as for my acura...i'm loving it. now that it's got some miles on the clock, the engine has really opened up and it breathes like a sprinter. i swear if it didn't have a fuel cut-off at 7500, it would zing up to 10,000 without a problem! the cold temperatures also make a big difference with that big i-4! i love downshifting to 3rd behind slow-moving traffic, and sling-shotting out and around. this car has some serious midrange grunt...no need for 4 cyl apologies here.

i'm taking my acura to another bmw cca track event later this month. hopefully, i can grind down those all-season michelins enough to justify some new shoes (yoko's?) before the summer.

it took a little getting used to the drive-by-wire throttle, but i've finally got heel-and-toe down in the acura, and it is so sweet! and yes, it does have that gorgeous interior and slick 6-speed that i never grow tired of. i sometimes regret not biting the bullet and getting the bmw, not so much for it's driving experience, since the acura satisfies very nicely. it's just that i originally wanted something different (non-japanese), and my smarter side ruled against it. you know, what i really want is a cherry, 1989 325is to play with (sport suspension, toyota rims...oohhh). it really is the best sport sedan bmw ever made (or at least, my favorite) and i'd buy one tomorrow if it crossed my path!

like you, my sport sedan only comes out on weekends, so it is much more fun to drive because every drive ""feels like the first time.""

i must tell you though, we got a new volvo v70 for munchkins in january and i really enjoy driving it! smooth ride, barkalounger seat, and it just looks cool!

regards,

brian"
1000,"isn't it funny how absence really does make the heart grow fonder? i slip behind the wheel of my car on friday nights and it feels like a darn solid race car after 5 days of driving my rickety, loud, tinny little protege.

as a friend pointed out one day, i even refer to the bmw as ""my car"" and the other car (the one i own) i call the commuter or by its name. it's the redheaded stepchild in my automotive family.

btw, i'm not an suv guy but golly that nissan's insane. i sat in one at a dealer and i felt like i was in a leather-lined bus."
1001,"""btw, i'm not an suv guy but golly that nissan's insane. i sat in one at a dealer and i felt like i was in a leather-lined bus.""

i felt the same way when i checkout out the lincoln blackwood edition. talk about $56k worth of stigma. speaking of stigma i don't understand why we let ourselves be influenced by the sometimes ridiculous opinions of others. that's all that ""stigma"" is. a negative overreaction to the negative opinions of others."
1002,true. regardless we all let society shape our views/behavior in some fashion.
1003,"i believe i posted a message sometime waaaaaaay back, about six months ago, about my personal experience with both car. my stoyotaer and i own both the '03 max se and '03 tl-s. the tl-s has slight advantages in handling, smoother ride, smoother engine at high rpm, and possibly exterior look. i like the max interior ergonomics, quieter engine, smoother trans/engine interactions (both car have slush box), and bigger size.

to most people, both car are about equal overall, except for $2,000-$4,000 differences in prices, w/incentives on the max.

now i haven't test-driven the '04 tl yet, but i assume that the new smaller size and slightly more powerful engine would increase its performance/handling potentials even further. i tested the '04 max the first day it arrived in the dealer and noticed that while the engine was even smoother/quieter than the '03 and the drive had been improved with the new rear ind. suspension set-up, the car's bigger size reduced the handling part to just marginally better than the '03. and don't even get me started with the new interior.......what the heck were they thinking?!?!

when the new '06 bmw 3series come out in late '05, i'll probably trade in the max for the ""older"" version '05 3's. personally i think the current 3series has the best overall exterior look (especially in nissanium silver) and the size is just about right for me--yes, i've grown tired of the bigger max. now if i can only get pass the bmw reliability issues......oh well, then there's always a tl :-)"
1004,"i agree the pontiac5 is hot. i see more and more of them around the wealthy suburbs of dc. i bet in the past a large % of those would be 3's. i'm sure new tl will show up, after all old ones were all over the place.

surprisingly, the hot suv, to my eyes, is the nissan. it's starting to compete with rx, acura and volvo in burbs. well, not too surprising, it got more style than any of the others."
1005,"thanks for the rundown on the maxis. good to know i'm not nuts for hating this thing.

i strongly suggest checking out the '04 tl. i did try the previous gen tls and, while i liked it, i found it rather boring. the new one is a huge improvement."
1006,"the one thing i do not like about about the acura/tl is that they have not shaken their honda family resemblance. the acura is an euro honda, and the tl ( i see the old honda tailights on this car) is just a larger version of it. what i liked about the pontiac5 is that no current nissan car looks remotely like it. i applaud honda for giving acura a more aggressive ""look"", (the old tl was just blah to look at) but i look at a acura/tl and still see just another honda on the road."
1007,"the nissan looks like a twin brother that is a little too addicted to sausage pizzas. i find the pontiac5 look tolerable, but it's not exactly svelte either.

sedan are bloated across all automotive brands... grotesque features... no attention to fine details. rubenesque is in.

my advice to auto designers... have a salad."
1008,"don't get me started about the new nissan. i despise its looks. now, the pontiac5 coupe is sex on wheels."
1009,"hey, whatever turns you on. i always thought fashion models could stand to eat a sicilian slice or two.

;-)"
1010,"drove a 330 and a 325 this week. both awd (bad driveway, ny winters). liked them both - great feeling car (for the limited time i got to do it). while i might not have thought this if i drove just the 325, after driving the 330 the 325 power seemed nice, but not great. of course, in most cases, not a real issue.

i'm off (in the near future) to drive a pontiac5x. on paper, looks like i can have 330 power for less than 325 price, at a higher level of equipment (cd changer, leather, and still less than the 325). recent years' reliability looks comparable.

nothing else looks close to these two to me (audi has some reliability issues, i think. no volvo dealer nearby, and not so sporting,...)

awd is a must have.

thoughts? tim"
1011,"indeed, pontiac5 coupe has a nice shape and aft section. front is a little bulbous. but i'll buy the sexy description.

i also think evo and is sport cross are sexy.

but to me the real lookers are the sports car... 911 coupe and targa, boxster, miata, s2000, 350z coupe and roadster. i think the new vette is an improvement but it can't seem to shed that big truncated butt. z4 should be used as prop for c-grade monster movies such as the blob."
1012,"pontiac5 & max share some family resemblance but total effect is quite different. pontiac5 sedan looks light, where max is just too heavy handed.

when previous tl came out as a concept, i was very impressed by its look. a relative of mine was looking for a car. i recommended the car to him, he bought the car before it came out as production. by the end of its cycle, i couldn't stand the sight of that car, to me the design aged really badly."
1013,"the new '04 nissan is never in my plan to replace my current max....honestly, i like mine better. to me it seems that while acura has moved the new tl closer to the bmw 3series, nissan did just the opposite with the new max.

for someone who's looking for a family sedan with room and power to spare, the max is an hyundaient choice. however, for a single guy like me who likes corners and twtoyotaies, a more chevrolet and smaller sedan would be more preferable.

when it's time for my trade-up, the only car i have in mind are the new tl , the pontiac5/pontiac5x, possibly the up-coming 250hp awd subaru (for the awd factor), and the 3series as the most favorite. i like almost everything about the car, except reliability.....sorry, didn't mean to sound like a broken record :-)"
1014,"what i like about the pontiac5 is the overall shape... numero uno in judging appearance imo. it has a fluid airfoil shape, similar to the 911. also, none of the details and proportions scream for attention. i think they could have done a better job with the headlights and grille though. headlights say nissan, grille says cadillac.

tl has subtle details but is too wedgy and chunky in the rear. hondaingly the shape is a bit unbalanced. and that swathe running just beneath the beltline looks like an afterthought... incongruous. i'd bet they added that near the deadline after thinking the car looked too vertical... to give the impression of less height. the wedge works better with smaller car like acura and acura. by the way, on the acura website, they do a great job of reducing the chunky rear with lighting notice how dark the bumper is in all shots. but when it comes out into real available light, the butt is very large. i&#146;m sure the tl is going to be a winner, but i think it would have been dead-nuts perfect by reducing the angle of the wedge a bit. the wedge may say sport, but it does not say elegance larger sedan have to keep it to a minimum.

not totally happy, but i&#146;ll take either one of these car on looks for the most part there is harmony and order to the details and lines no unnecessary topography. they sure do beat the bangle bimmers."
1015,"i like the tl's shape. i prefer creases and hard lines and edges. i do not like large flat surfaces - like the slab sides of the pontiac5, the cts and the just plain ugly doors on the pontiac5 coupe.

the new bangle designs also feature too many flat surfaces. bangle seems to model everything after mushy ice cream that was refrozen. weird angles, nothing solid and exceptionally bland."
1016,"i can go for creases and edges but, again, they have to be subordinate to the overall shape. ctv has something going but the shape is so unbalanced that it looks freaky... like a caricature. and that vertical crease on the trunk and rear bumper is excess... makes the car look like a crushed orange juice carton.

""...mushy ice cream that was refrozen.""

good description. bangle calls it ""flamed surfaces""."
1017,"i don't like bangle's designs at all. i think he screwed up the 7 series and the z4 is hard to look at. the 5 series is growing on me, but only when it looks like this:

http://www.supercar.net/sdbq?id=2920"
1018,"edsel and pontiac grew on me a little bit. hasn't happened yet with e60.

in my opinion the tail pipes make the e39 bmw and amgs look good. not so with e60. they make it look even dorkier."
1019,"depending on what time of the morning you are driving (5:30am)you may be seeing bmw's being driven from port hueneme to various dealers. that is why they are in a line. i have seen them all from the 7 to 3's. interestingly, they are somes disguised to hide new models. makes the drive fun from west valley to pasadena. i drive a 330i, and dream about the new 6. waiting for that to drive by."
1020,"you are right about the previous tl, especially the trunk. front is okay but not the butt.

i heard someone toyotad that there will be a new tl with awd."
1021,comparing the tl and the g... final days... i like both car but have my issues with both... for starters... the tls interior blows away the g's but by no means is the g terrible... yet the g blows away the tl in my opinion when it comes to driving... i drove both and don't like the way the tl drives and don't know why... the g i like but then again... i just don't know... aaaaahhhh.... i hate car shoping... things are too hard... the tl though just reminds me of a rebadge honda honda... and that really gets under my skin... where as the g doesn't really remind me of anything...
1022,"how soon do you need to get the car?
if the interior is your major gripe about the g and if you can wait, you might consider waiting until the 2005 comes out. they're apparently redoing the interior."
1023,"with that dilemma, you will want to spend some time reading the posts in our very active infiniti pontiac5 vs. 2004 acura tl discussion - that'll keep you busy for a while! ;-)

best of luck with your decision.

and isn't it really *nice* to have this kind of ""problem"" to deal with? :-)"
1024,consumers' most wanted vehicles for 2004 survey is posted and ready for your input!
